X,id_tanggal_transaksi_awal,tanggal_transaksi_awal,tipe_kartu,id_merchant,nama_merchant,tipe_mesin,tipe_transaksi,nama_transaksi,nilai_transaksi,id_negara,nama_negara,nama_kota,lokasi_mesin,pemilik_mesin,waktu_transaksi,kuartal_transaksi,kepemilikan_kartu,nama_channel,id_channel,flag_transaksi_finansial,status_transaksi,bank_pemilik_kartu,rata_rata_nilai_transaksi,maksimum_nilai_transaksi,minimum_nilai_transaksi,rata_rata_jumlah_transaksi,flag_transaksi_fraud
1177,2457440,2457496,5,-2,1798,81969,26,10,700000.0,96,5,128,3717,613,195339,4,2,1,9,False,3,999,241030.0,500000.0,50000.0,1.31,1
1919,2457314,2457340,111,568254,354,1744684,58,6,160000.0,96,5,265,7249,724,91512,2,2,2,4,False,3,999,2219613.445,4000000.0,1000000.0,2.9,1
3405,2457423,2457449,111,-2,1798,1892510,385,11,1000000.0,96,5,70,2470,613,232539,4,2,1,9,False,3,999,1367065.9340000001,6396000.0,50000.0,1.78,1
10497,2457395,2457451,104,-2,1798,2632327,385,11,1250000.0,96,5,128,4226,613,92251,2,2,1,9,False,3,999,1428125.869,7710000.0,30000.0,3.42,1
9961,2457460,2457557,5,-2,1798,-3,156,12,2000000.0,96,5,153,68,224,213934,4,1,5,8,False,3,999,1560357.1430000002,10000000.0,26500.0,1.69,1
403,2457431,2457519,104,641357,1485,3096337,58,6,403095.0,96,5,136,7499,2205,213408,4,2,2,4,False,3,999,390052.6471,3000000.0,12000.0,3.64,1
11286,2457463,2457487,103,-2,1798,-3,156,12,1500000.0,96,5,265,280,563,74016,2,1,5,8,False,3,999,1267005.773,12025000.0,50000.0,2.82,1
11852,2457609,2457682,5,-2,1798,3391203,385,11,1500000.0,96,5,138,4610,613,193421,4,2,1,9,False,3,999,1912381.0,20000000.0,38000.0,2.17,1
13135,2457431,2457510,93,-2,1798,-3,156,12,1250000.0,96,5,275,7767,322,113005,2,1,5,8,False,3,999,1321542.553,6000000.0,100000.0,2.9,1
1467,2457455,2457547,111,-2,1798,-3,156,12,500000.0,96,5,128,5668,590,161524,3,1,5,8,False,3,999,685714.2857,8831000.0,7097.0,1.33,1
8475,2457573,2457598,104,235316,1142,3261158,58,6,171500.0,96,5,218,6414,1758,113931,2,2,2,4,False,3,999,66666.66667,200000.0,50000.0,1.47,1
11395,2457533,2457591,111,-2,1798,-3,156,12,1250000.0,96,5,8,113,158,221450,4,1,5,8,False,3,999,273771.6705,7500000.0,15500.0,3.91,1
8812,2457659,2457690,104,-2,1798,1892510,26,10,900000.0,96,5,128,2470,613,33630,1,2,1,9,False,3,999,907081.4433,10500000.0,101500.0,1.3,1
13541,2457509,2457561,132,93594,1835,2723244,58,6,1141300.0,96,5,128,6823,2662,130831,3,2,2,4,False,3,999,3917040.0,24320500.0,200000.0,1.44,1
429,2457544,2457620,111,-2,1798,1224647,385,11,1250000.0,96,5,265,609,613,160149,3,2,1,9,False,3,999,803880.7252,5000000.0,62900.0,1.46,1
8118,2457539,2457614,104,-2,1798,-3,156,12,1200000.0,96,5,209,1290,991,180302,4,1,5,8,False,3,999,1138461.538,6400000.0,100000.0,1.22,1
11837,2457566,2457659,104,-2,1798,-3,156,12,300000.0,96,5,241,1463,1543,114042,2,1,5,8,False,3,999,719310.2545,2500000.0,26800.0,1.44,1
9006,2457528,2457527,1,-2,1798,-3,156,12,1000000.0,96,5,65,199,203,144139,3,1,5,8,False,3,999,836363.6364,3200000.0,26500.0,2.71,1
14959,2457642,2457735,103,-2,1798,2802205,301,16,1000000.0,96,5,293,7851,613,142220,3,2,1,9,False,3,999,1575784.0,11999000.0,24000.0,2.11,1
6190,2457651,2457728,103,-2,1798,-3,440,15,275000.0,96,5,8,221,211,55844,1,1,5,8,False,3,999,280317.9167,2000000.0,10000.0,2.56,1
1832,2457608,2457702,93,-2,1798,1245655,26,10,1250000.0,96,5,128,687,613,121505,3,2,1,9,False,3,999,2008558.394,85000000.0,100000.0,2.85,1
2231,2457308,2457385,111,-2,1798,-3,156,12,1250000.0,96,5,128,5677,2027,171153,3,1,5,8,False,3,999,1069285.7140000002,9000000.0,25000.0,1.57,1
10594,2457539,2457553,104,-2,1798,-3,156,12,1500000.0,96,5,187,5641,1395,184011,4,1,5,8,False,3,999,654787.7857,2000000.0,100000.0,1.5,1
1798,2457431,2457469,0,-2,1798,-3,156,12,1250000.0,96,5,7,189,20,11613,1,1,5,8,False,3,999,617093.6098,1250000.0,55500.0,2.0,1
11735,2457451,2457519,103,-2,1798,2621550,238,9,1100000.0,96,5,239,8449,613,172250,3,2,1,9,False,3,999,1147061.235,5640000.0,25000.0,1.53,1
1907,2457363,2457416,111,-2,1798,1337891,26,10,2500000.0,96,5,128,810,613,140013,3,2,1,9,False,3,999,2750000.0,15000000.0,82000.0,2.13,1
5042,2457474,2457566,103,-2,1798,2345425,385,11,100000.0,96,5,128,3528,613,235204,4,2,1,9,False,3,999,625211.2676,2500000.0,50000.0,1.74,1
5961,2457632,2457718,93,-2,1798,2432936,26,10,1250000.0,96,5,128,3850,613,162948,3,2,1,9,False,3,999,1564276.889,14000000.0,100000.0,1.5,1
11040,2457472,2457563,103,-2,1798,1492210,26,10,109714.0,96,5,128,1608,613,193926,4,2,1,9,False,3,999,429270.4,6240000.0,20500.0,3.29,1
4172,2457454,2457546,104,-2,1798,302,26,10,50000.0,96,5,241,2809,613,173117,3,2,1,9,False,3,999,2070263.158,5000000.0,129000.0,2.11,1
14891,2457434,2457522,93,-2,1798,1329225,26,10,700000.0,96,5,241,767,613,114356,2,2,1,9,False,3,999,2813236.6210000003,14000000.0,500000.0,3.11,1
12791,2457308,2457341,111,-2,1798,-3,156,12,1500000.0,96,5,51,19,614,91849,2,1,5,8,False,3,999,2785405.2630000003,25000000.0,100000.0,1.84,1
11416,2457459,2457505,138,-2,1798,1990916,26,10,1000000.0,96,5,70,2728,613,193351,4,2,1,9,False,3,999,444720.7588,2700000.0,10000.0,1.72,1
6792,2457662,2457715,0,-2,1798,2142716,26,10,2500000.0,96,5,128,2970,613,163956,3,2,1,9,False,3,999,6780372.708,13450000.0,2500000.0,19.78,1
4487,2457378,2457396,111,-2,1798,2129394,26,10,200000.0,96,5,128,3098,613,51821,1,2,1,9,False,3,999,448567.5317,1060000.0,20500.0,1.31,1
6678,2457607,2457703,111,-2,1798,1590933,385,11,1250000.0,96,5,241,1835,613,162158,3,2,1,9,False,3,999,287720.3488,2300000.0,21600.0,1.2,1
1696,2457349,2457359,103,-2,1798,2254860,385,11,500000.0,96,5,128,3195,613,145437,3,2,1,9,False,3,999,797473.2270000001,1750000.0,250000.0,1.46,1
7014,2457467,2457499,93,-2,1798,-3,156,12,1000000.0,96,5,8,4,9,171338,3,1,5,8,False,3,999,2116285.714,12000000.0,200000.0,2.69,1
10365,2457510,2457581,93,-2,1798,1304764,238,9,2500000.0,96,5,70,5351,613,171821,3,2,1,9,False,3,999,459148.0984,1500000.0,60000.0,1.67,1
5299,2457373,2457464,0,-2,1798,-3,156,12,400000.0,96,5,60,1177,1595,180829,4,1,5,8,False,3,999,1028470.333,14905000.0,25700.0,2.6,1
12727,2457476,2457506,0,-2,1798,84019,159,19,4000000.0,96,5,128,3317,613,62025,2,2,1,9,False,3,999,1965300.17,11110000.0,300000.0,1.29,1
7144,2457496,2457584,4,-2,1798,1581539,26,10,1250000.0,96,5,128,1923,613,95849,2,2,1,9,False,3,999,885580.321,2000000.0,50000.0,1.5,1
10677,2457473,2457511,111,-2,1798,81486,385,11,500000.0,96,5,128,3772,613,90804,2,2,1,9,False,3,999,122595.0822,410000.0,50000.0,2.28,1
1039,2457561,2457607,93,-2,1798,-3,156,12,100000.0,96,5,128,1360,1637,124122,3,1,5,8,False,3,999,0.0,0.0,0.0,0.0,1
10240,2457410,2457500,4,-2,1798,701282,385,11,2500000.0,96,5,128,5079,613,22127,1,2,1,9,False,3,999,2373577.4069999997,20000000.0,158650.0,1.5,1
4128,2457469,2457534,111,-2,1798,2178475,238,9,3150000.0,96,5,128,7889,613,84454,2,2,1,9,False,3,999,1121962.467,25000000.0,21800.0,2.39,1
3997,2457559,2457653,0,-2,1798,-3,156,12,500000.0,96,5,8,86,33,160555,3,1,5,8,False,3,999,589583.3333,2100000.0,50000.0,1.41,1
12003,2457423,2457461,5,-2,1798,-3,156,12,1200000.0,96,5,189,5667,2173,162124,3,1,5,8,False,3,999,768508.1351,5500000.0,25000.0,2.62,1
704,2457512,2457570,104,-2,1798,3031391,385,11,1000000.0,96,5,128,8154,613,123700,3,2,1,9,False,3,999,548845.625,1150000.0,21329.0,1.8,1
8017,2457531,2457590,111,-2,1798,-3,156,12,2500000.0,96,5,128,7758,1384,170209,3,1,5,8,False,3,999,2206750.0,15000000.0,147000.0,1.73,1
6715,2457437,2457526,104,-2,1798,1518190,385,11,1250000.0,96,5,265,1622,613,84325,2,2,1,9,False,3,999,323243.2432,2450000.0,10.0,4.99,1
6434,2457326,2457416,103,-2,1798,-3,156,12,2050000.0,96,5,288,1270,1396,194520,4,1,5,8,False,3,999,1808152.6830000002,27000000.0,100000.0,2.32,1
2894,2457609,2457674,104,-2,1798,298304,26,10,1000000.0,96,5,75,4743,613,154802,3,2,1,9,False,3,999,197729.0217,700000.0,14990.0,2.2,1
14933,2457486,2457555,93,214033,969,552401,58,6,350000.0,96,5,128,7684,1488,175001,3,2,2,4,False,3,999,5351677.425,75000000.0,46000.0,2.4,1
6776,2457515,2457571,103,-2,1798,2162047,385,11,2500000.0,96,5,128,7889,613,145411,3,2,1,9,False,3,999,417920.9355,1250000.0,50000.0,1.53,1
14405,2457406,2457421,104,-2,1798,2505746,301,16,1100000.0,96,5,265,8287,613,204113,4,2,1,9,False,3,999,347951.6129,2500000.0,13200.0,1.81,1
13095,2457415,2457504,111,276952,1153,2461840,58,6,1000000.0,96,5,56,6971,1764,150237,3,2,2,4,False,3,999,1175766.31,10100000.0,50000.0,2.05,1
3050,2457622,2457701,5,-2,1798,2118231,26,10,300000.0,96,5,128,2968,613,162310,3,2,1,9,False,3,999,1316323.918,15000000.0,300000.0,2.14,1
406,2457417,2457507,111,-2,1798,1154047,385,11,1250000.0,96,5,128,464,613,83522,2,2,1,9,False,3,999,711007.8384,3250000.0,50000.0,1.76,1
2321,2457339,2457353,93,-2,1798,-3,156,12,100000.0,96,5,265,122,184,185505,4,1,5,8,False,3,999,2630672.136,20000000.0,106300.0,1.63,1
4203,2457529,2457544,111,-2,1798,1790374,147,3,2987800.0,96,5,128,2164,613,82751,2,2,1,9,False,3,999,771564.0,1500000.0,50000.0,1.5,1
8847,2457538,2457627,103,-2,1798,2512545,385,11,1250000.0,96,5,128,8264,613,112803,2,2,1,9,False,3,999,831094.8276,2500000.0,35100.0,1.74,1
2718,2457459,2457535,93,-2,1798,-3,156,12,2000000.0,96,5,279,3846,1396,190822,4,1,5,8,False,3,999,1535916.851,34000000.0,22500.0,1.77,1
699,2457556,2457647,111,-2,1798,-3,156,12,1500000.0,96,5,128,5661,1964,1215,1,1,5,8,False,3,999,1155874.237,10000000.0,70700.0,1.58,1
8663,2457534,2457626,0,-2,1798,3105437,385,11,1250000.0,96,5,75,8207,613,112803,2,2,1,9,False,3,999,467139.5469,3000000.0,29500.0,1.87,1
5176,2457374,2457429,111,-2,1798,2751069,238,9,5000000.0,96,5,70,8498,613,202245,4,2,1,9,False,3,999,1190239.781,15844300.0,25000.0,2.54,1
13132,2457473,2457481,104,-2,1798,1415743,26,10,2000000.0,96,5,128,1297,613,84325,2,2,1,9,False,3,999,948031.25,7000000.0,35500.0,1.17,1
1556,2457460,2457544,0,-2,1798,1486949,26,10,1000000.0,96,5,181,1565,613,230406,4,2,1,9,False,3,999,931864.8649,5500000.0,168000.0,1.54,1
13738,2457610,2457668,104,-2,1798,1332962,26,10,1700000.0,96,5,58,814,613,152222,3,2,1,9,False,3,999,713627.9,1000000.0,300000.0,1.06,1
10571,2457548,2457640,111,-2,1798,-3,156,12,900000.0,96,5,241,1463,1647,122900,3,1,5,8,False,3,999,445198.91299999994,4300000.0,21680.0,2.29,1
5901,2457586,2457604,111,-2,1798,1873287,159,19,10000000.0,96,5,60,2765,613,101831,2,2,1,9,False,3,999,1448783.65,17860800.0,50000.0,2.42,1
13859,2457405,2457423,111,-2,1798,2042970,385,11,500000.0,96,5,128,2813,613,152151,3,2,1,9,False,3,999,973804.4808,6800000.0,41660.0,2.03,1
8787,2457589,2457627,103,-2,1798,2810555,238,9,1800000.0,96,5,102,8625,613,73814,2,2,1,9,False,3,999,238342.3333,900000.0,21000.0,2.93,1
13114,2457535,2457624,0,-2,1798,1344488,385,11,2000000.0,96,5,70,850,613,104113,2,2,1,9,False,3,999,3554942.8860000004,30000000.0,1000000.0,3.94,1
13142,2457420,2457449,103,-2,1798,-3,156,12,600000.0,216,11,143,5539,811,164815,3,1,5,8,False,3,999,439029.9451,3004500.0,40800.0,1.68,1
10785,2457562,2457651,111,-2,1798,1529252,159,19,405000.0,96,5,70,1704,613,124627,3,2,1,9,False,3,999,1210242.933,5000000.0,65000.0,1.97,1
7857,2457460,2457547,0,-2,1798,1482636,301,16,5000000.0,96,5,128,1569,613,41402,1,2,1,9,False,3,999,1855409.4740000002,7000000.0,135000.0,1.73,1
7672,2457357,2457366,93,-2,1798,-3,440,15,3000000.0,96,5,7,65,233,150605,3,1,5,8,False,3,999,1275542.938,5000000.0,100000.0,1.29,1
10950,2457551,2457543,103,-2,1798,-3,156,12,1250000.0,96,5,8,73,140,185707,4,1,5,8,False,3,999,834782.6087,2500000.0,50000.0,1.55,1
5655,2457390,2457404,93,-2,1798,84011,26,10,2500000.0,96,5,128,3804,613,193211,4,2,1,9,False,3,999,1888782.895,11000000.0,100000.0,1.95,1
6074,2457430,2457513,93,-2,1798,1820986,238,9,2500000.0,96,5,128,5498,613,100524,2,2,1,9,False,3,999,2855334.0730000003,25000000.0,100000.0,3.13,1
11326,2457613,2457696,111,-2,1798,2132716,26,10,650000.0,96,5,128,3100,613,203200,4,2,1,9,False,3,999,1228742.869,25000000.0,12000.0,1.69,1
12868,2457369,2457440,111,-2,1798,2339434,26,10,500000.0,96,5,91,3471,613,210810,4,2,1,9,False,3,999,1066010.248,3000000.0,100000.0,1.67,1
6784,2457561,2457652,0,-2,1798,1191455,147,3,201800.0,96,5,265,534,613,174354,3,2,1,9,False,3,999,990849.2615,9500000.0,21000.0,1.85,1
13278,2457636,2457685,93,-2,1798,2771094,26,10,1250000.0,96,5,128,4301,613,132330,3,2,1,9,False,3,999,1264730.357,2500000.0,173455.0,1.29,1
6585,2457657,2457737,104,-2,1798,-3,156,12,1500000.0,96,5,5,84,222,133056,3,1,5,8,False,3,999,630952.381,3000000.0,55000.0,1.24,1
2492,2457571,2457662,111,-2,1798,-3,156,12,2500000.0,96,5,197,1259,1668,65131,2,1,5,8,False,3,999,1349631.648,2500000.0,100000.0,2.93,1
5808,2457570,2457633,103,-2,1798,-3,156,12,1000000.0,96,5,244,4615,346,132750,3,1,5,8,False,3,999,617486.5854,1350000.0,100000.0,1.5,1
1473,2457447,2457480,93,-2,1798,1154046,159,19,13000000.0,96,5,241,437,613,223908,4,2,1,9,False,3,999,5527200.0,40000000.0,62769.0,2.0,1
5765,2457408,2457436,93,-2,1798,335621,147,3,2255700.0,96,5,70,4849,613,125221,3,2,1,9,False,3,999,1666466.386,23814624.0,25000.0,2.53,1
3340,2457484,2457573,111,-2,1798,-3,156,12,2500000.0,96,5,93,5102,1556,195519,4,1,5,8,False,3,999,2508051.923,50000000.0,50000.0,3.7,1
5842,2457662,2457669,93,114302,269,2415057,58,6,1200000.0,96,5,242,6794,621,111604,2,2,2,4,False,3,999,4464044.819,100000000.0,26300.0,1.33,1
11514,2457580,2457673,104,-2,1798,-3,156,12,1250000.0,96,5,8,88,171,120202,3,1,5,8,False,3,999,462000.0,5877000.0,23650.0,1.74,1
1693,2457610,2457702,93,-2,1798,219649,159,19,2000000.0,96,5,128,4426,613,81645,2,2,1,9,False,3,999,1468430.949,11440017.0,26500.0,4.23,1
4052,2457662,2457750,104,-2,1798,611362,26,10,250000.0,96,5,128,4993,613,183306,4,2,1,9,False,3,999,224162.8846,1300000.0,10000.0,1.73,1
7126,2457590,2457683,104,-2,1798,-3,156,12,1000000.0,96,5,128,4874,1133,172037,3,1,5,8,False,3,999,949982.2785,3000000.0,53266.0,1.95,1
11010,2457449,2457490,1,-2,1798,2605130,238,9,1850000.0,96,5,69,5625,613,233202,4,2,1,9,False,3,999,1028470.333,2000000.0,500000.0,1.45,1
4723,2457643,2457725,111,-2,1798,1431424,385,11,100000.0,96,5,60,1397,613,201938,4,2,1,9,False,3,999,634615.3846,3500000.0,85500.0,1.45,1
12468,2457576,2457668,103,-2,1798,2069723,385,11,1250000.0,96,5,152,2920,613,93151,2,2,1,9,False,3,999,347571.9512,1000000.0,80000.0,1.08,1
6597,2457576,2457636,0,-2,1798,-3,156,12,2500000.0,96,5,274,5721,1386,123756,3,1,5,8,False,3,999,5208488.675,40000000.0,100000.0,2.0,1
13249,2457636,2457638,104,-2,1798,2771094,385,11,1000000.0,96,5,293,4183,613,84640,2,2,1,9,False,3,999,854314.0611,3100000.0,55740.0,2.13,1
9887,2457354,2457386,0,-2,1798,1083542,26,10,1000000.0,96,5,70,319,613,85843,2,2,1,9,False,3,999,556074.1842,1000000.0,55500.0,1.94,1
11803,2457312,2457342,111,-2,1798,-3,156,12,1000000.0,96,5,241,3121,1958,81106,2,1,5,8,False,3,999,1841180.851,2500000.0,34400.0,2.7,1
9911,2457523,2457607,93,-2,1798,2057672,26,10,2500000.0,96,5,128,2882,613,95858,2,2,1,9,False,3,999,3299588.147,75000000.0,50000.0,2.33,1
1347,2457558,2457628,93,-2,1798,-3,156,12,1000000.0,96,5,75,7802,2400,181434,4,1,5,8,False,3,999,1107240.222,10000000.0,17500.0,1.85,1
13055,2457326,2457407,103,-2,1798,1751760,26,10,500000.0,96,5,69,2085,613,132808,3,2,1,9,False,3,999,434347.3846,1000000.0,50000.0,1.77,1
13490,2457650,2457744,111,-2,1798,1380366,385,11,200000.0,96,5,70,1066,613,185131,4,2,1,9,False,3,999,189089.3556,1500000.0,21400.0,1.88,1
8290,2457404,2457478,93,-2,1798,1602647,385,11,1500000.0,96,5,128,1802,613,144014,3,2,1,9,False,3,999,4906702.847,75000000.0,100000.0,2.91,1
10915,2457568,2457633,104,-2,1798,-3,440,15,125000.0,96,5,4,160,247,151001,3,1,5,8,False,3,999,168090.9091,400000.0,50000.0,1.13,1
9566,2457573,2457612,111,-2,1798,1874485,385,11,1250000.0,96,5,128,2405,613,150544,3,2,1,9,False,3,999,1214810.459,10000000.0,20000.0,2.9,1
4020,2457655,2457658,103,-2,1798,2330,147,3,1000000.0,96,5,128,374,613,184858,4,2,1,9,False,3,999,0.0,0.0,0.0,0.0,1
12985,2457325,2457416,0,-2,1798,-3,156,12,2500000.0,96,5,128,7729,1355,164815,3,1,5,8,False,3,999,1594155.0,6711000.0,48000.0,1.62,1
14015,2457461,2457502,0,-2,1798,-3,156,12,200000.0,96,5,126,1181,2001,63817,2,1,5,8,False,3,999,568563.3893,2500000.0,50000.0,1.75,1
5625,2457396,2457480,103,-2,1798,-3,156,12,2000000.0,96,5,75,1264,1168,131150,3,1,5,8,False,3,999,911327.9213,2500000.0,34200.0,1.71,1
14202,2457620,2457695,93,-2,1798,1593807,385,11,1250000.0,96,5,60,1876,613,141517,3,2,1,9,False,3,999,820753.6559,3200000.0,71500.0,1.29,1
1842,2457568,2457602,93,-2,1798,1390312,26,10,1000000.0,96,5,265,1161,613,105441,2,2,1,9,False,3,999,4317921.569,100000000.0,25000.0,2.57,1
1700,2457593,2457680,111,-2,1798,-3,156,12,1000000.0,96,5,93,3796,2067,202214,4,1,5,8,False,3,999,254614.3293,2500000.0,19000.0,1.62,1
4791,2457601,2457691,104,-2,1798,2493992,26,10,50000.0,96,5,189,8097,613,124916,3,2,1,9,False,3,999,147165.0701,1000000.0,15000.0,2.11,1
8264,2457556,2457634,111,-2,1798,2413331,26,10,2500000.0,96,5,128,3790,613,115515,2,2,1,9,False,3,999,784863.0684,1250000.0,100000.0,1.5,1
10791,2457587,2457668,111,216408,272,2355159,58,6,348175.0,96,5,128,7237,612,175753,3,2,2,4,False,3,999,7234872.072000001,25000000.0,1887000.0,2.29,1
3620,2457564,2457656,111,-2,1798,-3,156,12,1000000.0,96,5,8,185,20,114730,2,1,5,8,False,3,999,2379787.081,40000000.0,51500.0,1.86,1
708,2457509,2457549,111,-2,1798,2121819,385,11,1000000.0,96,5,128,3049,613,152301,3,2,1,9,False,3,999,872627.3962,2750000.0,162000.0,1.75,1
8579,2457522,2457608,111,-2,1798,-3,156,12,1000000.0,96,5,128,7775,1368,150340,3,1,5,8,False,3,999,1818789.4740000002,10000000.0,100000.0,1.25,1
9878,2457659,2457746,2,-2,1798,-3,156,12,400000.0,96,5,128,4076,2397,91528,2,1,5,8,False,3,999,2111071.972,20000000.0,123804.0,2.52,1
1277,2457636,2457724,111,-2,1798,-3,440,15,50000000.0,73,15,174,5686,2515,112005,2,1,3,8,False,3,999,2530285.326,20000000.0,410000.0,3.15,1
8854,2457411,2457494,1,-2,1798,228,147,3,1600000.0,96,5,186,2906,613,185323,4,2,1,9,False,3,999,632142.8571,2500000.0,50000.0,2.5,1
13335,2457315,2457374,103,-2,1798,-3,156,12,1900000.0,96,5,51,24,614,165728,3,1,5,8,False,3,999,524216.0714,3000000.0,27100.0,1.74,1
10993,2457325,2457380,111,-2,1798,1163451,26,10,1250000.0,96,5,70,526,613,81920,2,2,1,9,False,3,999,549928.8136,3260000.0,20000.0,2.73,1
4820,2457421,2457498,104,-2,1798,-3,156,12,1250000.0,96,5,8,133,144,182128,4,1,5,8,False,3,999,514956.3333,5000000.0,21700.0,2.35,1
13242,2457503,2457590,111,-2,1798,1819593,26,10,1200000.0,96,5,187,2180,613,94620,2,2,1,9,False,3,999,1186971.627,6162385.0,30400.0,2.51,1
6125,2457475,2457529,138,-2,1798,2162048,26,10,1000000.0,96,5,70,7876,613,111300,2,2,1,9,False,3,999,444720.7588,2565000.0,10000.0,2.13,1
11524,2457477,2457525,111,273000,1836,2652715,58,6,93000.0,96,5,60,6479,2659,155631,3,2,2,4,False,3,999,580885.5516,20000000.0,21500.0,1.57,1
4542,2457526,2457592,103,-2,1798,1366851,26,10,1250000.0,96,5,265,964,613,94801,2,2,1,9,False,3,999,466721.75,1750000.0,39000.0,1.16,1
1986,2457390,2457460,111,-2,1798,-3,156,12,2000000.0,96,5,101,4864,2535,184431,4,1,5,8,False,3,999,1219878.346,2500000.0,100000.0,1.83,1
12957,2457451,2457510,103,-2,1798,-3,156,12,1200000.0,96,5,237,7833,510,145328,3,1,5,8,False,3,999,374183.0,1250000.0,17425.0,1.17,1
14080,2457510,2457521,93,-2,1798,185678,159,19,6000000.0,96,5,101,3988,613,140923,3,2,1,9,False,3,999,0.0,0.0,0.0,0.0,1
3506,2457433,2457509,111,-2,1798,-3,156,12,1000000.0,96,5,223,3191,2640,162434,3,1,5,8,False,3,999,190671.4915,1200000.0,21600.0,1.25,1
11604,2457650,2457740,0,-2,1798,2647208,26,10,2000000.0,96,5,187,4197,613,143529,3,2,1,9,False,3,999,1284469.294,2300000.0,1100000.0,2.86,1
5961,2457298,2457323,0,-2,1798,1389004,26,10,1500000.0,96,5,128,1126,613,155538,3,2,1,9,False,3,999,700686.3697,5000000.0,46000.0,1.7,1
4395,2457443,2457497,111,-2,1798,1243314,26,10,2500000.0,96,5,86,550,613,73003,2,2,1,9,False,3,999,2450906.817,13425780.0,100000.0,2.45,1
4965,2457592,2457638,111,460665,258,3375676,58,6,8635000.0,96,5,203,6380,603,95921,2,2,2,4,False,3,999,2227785.714,4700000.0,365600.0,2.44,1
5450,2457526,2457606,0,-2,1798,1369199,385,11,1250000.0,96,5,128,1075,613,92855,2,2,1,9,False,3,999,584346.3415,2000000.0,50000.0,1.34,1
3464,2457445,2457520,93,-2,1798,1468759,385,11,1250000.0,96,5,128,1492,613,65128,2,2,1,9,False,3,999,914155.3738,3600000.0,100000.0,1.89,1
8462,2457499,2457550,111,-2,1798,1572176,385,11,300000.0,96,5,256,1456,613,125831,3,2,1,9,False,3,999,246257.4082,1000000.0,97000.0,1.52,1
3490,2457388,2457471,111,-2,1798,-3,156,12,2500000.0,96,5,8,28,112,150802,3,1,5,8,False,3,999,1317066.176,15000000.0,300000.0,3.23,1
7411,2457659,2457665,2,-2,1798,-3,156,12,500000.0,96,5,229,108,51,154502,3,1,5,8,False,3,999,422543.1184,8503541.0,39300.0,2.95,1
14285,2457411,2457502,1,-2,1798,-3,156,12,1250000.0,96,5,35,211,209,115250,2,1,5,8,False,3,999,831000.0,3200000.0,26500.0,4.41,1
4413,2457576,2457669,93,-2,1798,1289502,148,5,100000.0,96,5,265,735,613,165628,3,2,1,9,False,3,999,3714086.914,20000000.0,500000.0,2.23,1
12023,2457509,2457534,93,-2,1798,1588046,385,11,2500000.0,96,5,70,1902,613,131204,3,2,1,9,False,3,999,2823291.7660000003,14000000.0,25000.0,3.76,1
12472,2457472,2457514,103,-2,1798,1834410,385,11,1000000.0,96,5,128,2296,613,83723,2,2,1,9,False,3,999,349397.0588,1000000.0,30000.0,1.6,1
471,2457395,2457418,111,-2,1798,-3,158,12,2500000.0,96,5,65,7761,2392,80759,2,1,5,8,False,3,999,1342663.8869999999,10000000.0,50000.0,1.89,1
