X;id_tanggal_transaksi_awal;tanggal_transaksi_awal;tipe_kartu;id_merchant;nama_merchant;tipe_mesin;tipe_transaksi;nama_transaksi;nilai_transaksi;id_negara;nama_negara;nama_kota;lokasi_mesin;pemilik_mesin;waktu_transaksi;kuartal_transaksi;kepemilikan_kartu;nama_channel;id_channel;flag_transaksi_finansial;status_transaksi;bank_pemilik_kartu;rata_rata_nilai_transaksi;maksimum_nilai_transaksi;minimum_nilai_transaksi;rata_rata_jumlah_transaksi;flag_transaksi_fraud;grouped_time;selisih_transaksi
429;2457544;2457620;111;-2;1798;1224647;385;11;1250000;96;5;265;609;613;160149;3;2;1;9;FALSE;3;999;803880,7252;5000000;62900;1,46;1;2;446119,2748
8118;2457539;2457614;104;-2;1798;-3;156;12;1200000;96;5;209;1290;991;180302;4;1;5;8;FALSE;3;999;1138461,538;6400000;100000;1,22;1;2;61538,462
11837;2457566;2457659;104;-2;1798;-3;156;12;300000;96;5;241;1463;1543;114042;2;1;5;8;FALSE;3;999;719310,2545;2500000;26800;1,44;1;2;419310,2545
9006;2457528;2457527;1;-2;1798;-3;156;12;1000000;96;5;65;199;203;144139;3;1;5;8;FALSE;3;999;836363,6364;3200000;26500;2,71;1;2;163636,3636
14959;2457642;2457735;103;-2;1798;2802205;301;16;1000000;96;5;293;7851;613;142220;3;2;1;9;FALSE;3;999;1575784;11999000;24000;2,11;1;2;575784
6190;2457651;2457728;103;-2;1798;-3;440;15;275000;96;5;8;221;211;55844;1;1;5;8;FALSE;3;999;280317,9167;2000000;10000;2,56;1;1;5317,9167
1832;2457608;2457702;93;-2;1798;1245655;26;10;1250000;96;5;128;687;613;121505;3;2;1;9;FALSE;3;999;2008558,394;85000000;100000;2,85;1;2;758558,394
2231;2457308;2457385;111;-2;1798;-3;156;12;1250000;96;5;128;5677;2027;171153;3;1;5;8;FALSE;3;999;1069285,714;9000000;25000;1,57;1;2;180714,286
10594;2457539;2457553;104;-2;1798;-3;156;12;1500000;96;5;187;5641;1395;184011;4;1;5;8;FALSE;3;999;654787,7857;2000000;100000;1,5;1;2;845212,2143
1798;2457431;2457469;0;-2;1798;-3;156;12;1250000;96;5;7;189;20;11613;1;1;5;8;FALSE;3;999;617093,6098;1250000;55500;2;1;1;632906,3902
11735;2457451;2457519;103;-2;1798;2621550;238;9;1100000;96;5;239;8449;613;172250;3;2;1;9;FALSE;3;999;1147061,235;5640000;25000;1,53;1;2;47061,235
1907;2457363;2457416;111;-2;1798;1337891;26;10;2500000;96;5;128;810;613;140013;3;2;1;9;FALSE;3;999;2750000;15000000;82000;2,13;1;2;250000
5042;2457474;2457566;103;-2;1798;2345425;385;11;100000;96;5;128;3528;613;235204;4;2;1;9;FALSE;3;999;625211,2676;2500000;50000;1,74;1;1;525211,2676
5961;2457632;2457718;93;-2;1798;2432936;26;10;1250000;96;5;128;3850;613;162948;3;2;1;9;FALSE;3;999;1564276,889;14000000;100000;1,5;1;2;314276,889
11040;2457472;2457563;103;-2;1798;1492210;26;10;109714;96;5;128;1608;613;193926;4;2;1;9;FALSE;3;999;429270,4;6240000;20500;3,29;1;3;319556,4
4172;2457454;2457546;104;-2;1798;302;26;10;50000;96;5;241;2809;613;173117;3;2;1;9;FALSE;3;999;2070263,158;5000000;129000;2,11;1;2;2020263,158
14891;2457434;2457522;93;-2;1798;1329225;26;10;700000;96;5;241;767;613;114356;2;2;1;9;FALSE;3;999;2813236,621;14000000;500000;3,11;1;2;2113236,621
12791;2457308;2457341;111;-2;1798;-3;156;12;1500000;96;5;51;19;614;91849;2;1;5;8;FALSE;3;999;2785405,263;25000000;100000;1,84;1;2;1285405,263
11416;2457459;2457505;138;-2;1798;1990916;26;10;1000000;96;5;70;2728;613;193351;4;2;1;9;FALSE;3;999;444720,7588;2700000;10000;1,72;1;3;555279,2412
6792;2457662;2457715;0;-2;1798;2142716;26;10;2500000;96;5;128;2970;613;163956;3;2;1;9;FALSE;3;999;6780372,708;13450000;2500000;19,78;1;2;4280372,708
4487;2457378;2457396;111;-2;1798;2129394;26;10;200000;96;5;128;3098;613;51821;1;2;1;9;FALSE;3;999;448567,5317;1060000;20500;1,31;1;1;248567,5317
6678;2457607;2457703;111;-2;1798;1590933;385;11;1250000;96;5;241;1835;613;162158;3;2;1;9;FALSE;3;999;287720,3488;2300000;21600;1,2;1;2;962279,6512
1696;2457349;2457359;103;-2;1798;2254860;385;11;500000;96;5;128;3195;613;145437;3;2;1;9;FALSE;3;999;797473,227;1750000;250000;1,46;1;2;297473,227
7014;2457467;2457499;93;-2;1798;-3;156;12;1000000;96;5;8;4;9;171338;3;1;5;8;FALSE;3;999;2116285,714;12000000;200000;2,69;1;2;1116285,714
10365;2457510;2457581;93;-2;1798;1304764;238;9;2500000;96;5;70;5351;613;171821;3;2;1;9;FALSE;3;999;459148,0984;1500000;60000;1,67;1;2;2040851,902
5299;2457373;2457464;0;-2;1798;-3;156;12;400000;96;5;60;1177;1595;180829;4;1;5;8;FALSE;3;999;1028470,333;14905000;25700;2,6;1;2;628470,333
12727;2457476;2457506;0;-2;1798;84019;159;19;4000000;96;5;128;3317;613;62025;2;2;1;9;FALSE;3;999;1965300,17;11110000;300000;1,29;1;1;2034699,83
7144;2457496;2457584;4;-2;1798;1581539;26;10;1250000;96;5;128;1923;613;95849;2;2;1;9;FALSE;3;999;885580,321;2000000;50000;1,5;1;2;364419,679
10677;2457473;2457511;111;-2;1798;81486;385;11;500000;96;5;128;3772;613;90804;2;2;1;9;FALSE;3;999;122595,0822;410000;50000;2,28;1;2;377404,9178
1039;2457561;2457607;93;-2;1798;-3;156;12;100000;96;5;128;1360;1637;124122;3;1;5;8;FALSE;3;999;0;0;0;0;1;2;100000
10240;2457410;2457500;4;-2;1798;701282;385;11;2500000;96;5;128;5079;613;22127;1;2;1;9;FALSE;3;999;2373577,407;20000000;158650;1,5;1;1;126422,593
4128;2457469;2457534;111;-2;1798;2178475;238;9;3150000;96;5;128;7889;613;84454;2;2;1;9;FALSE;3;999;1121962,467;25000000;21800;2,39;1;2;2028037,533
3997;2457559;2457653;0;-2;1798;-3;156;12;500000;96;5;8;86;33;160555;3;1;5;8;FALSE;3;999;589583,3333;2100000;50000;1,41;1;2;89583,3333
12003;2457423;2457461;5;-2;1798;-3;156;12;1200000;96;5;189;5667;2173;162124;3;1;5;8;FALSE;3;999;768508,1351;5500000;25000;2,62;1;2;431491,8649
704;2457512;2457570;104;-2;1798;3031391;385;11;1000000;96;5;128;8154;613;123700;3;2;1;9;FALSE;3;999;548845,625;1150000;21329;1,8;1;2;451154,375
8017;2457531;2457590;111;-2;1798;-3;156;12;2500000;96;5;128;7758;1384;170209;3;1;5;8;FALSE;3;999;2206750;15000000;147000;1,73;1;2;293250
6715;2457437;2457526;104;-2;1798;1518190;385;11;1250000;96;5;265;1622;613;84325;2;2;1;9;FALSE;3;999;323243,2432;2450000;10;4,99;1;2;926756,7568
6434;2457326;2457416;103;-2;1798;-3;156;12;2050000;96;5;288;1270;1396;194520;4;1;5;8;FALSE;3;999;1808152,683;27000000;100000;2,32;1;3;241847,317
2894;2457609;2457674;104;-2;1798;298304;26;10;1000000;96;5;75;4743;613;154802;3;2;1;9;FALSE;3;999;197729,0217;700000;14990;2,2;1;2;802270,9783
14933;2457486;2457555;93;214033;969;552401;58;6;350000;96;5;128;7684;1488;175001;3;2;2;4;FALSE;3;999;5351677,425;75000000;46000;2,4;1;2;5001677,425
6776;2457515;2457571;103;-2;1798;2162047;385;11;2500000;96;5;128;7889;613;145411;3;2;1;9;FALSE;3;999;417920,9355;1250000;50000;1,53;1;2;2082079,064
14405;2457406;2457421;104;-2;1798;2505746;301;16;1100000;96;5;265;8287;613;204113;4;2;1;9;FALSE;3;999;347951,6129;2500000;13200;1,81;1;3;752048,3871
13095;2457415;2457504;111;276952;1153;2461840;58;6;1000000;96;5;56;6971;1764;150237;3;2;2;4;FALSE;3;999;1175766,31;10100000;50000;2,05;1;2;175766,31
3050;2457622;2457701;5;-2;1798;2118231;26;10;300000;96;5;128;2968;613;162310;3;2;1;9;FALSE;3;999;1316323,918;15000000;300000;2,14;1;2;1016323,918
406;2457417;2457507;111;-2;1798;1154047;385;11;1250000;96;5;128;464;613;83522;2;2;1;9;FALSE;3;999;711007,8384;3250000;50000;1,76;1;2;538992,1616
2321;2457339;2457353;93;-2;1798;-3;156;12;100000;96;5;265;122;184;185505;4;1;5;8;FALSE;3;999;2630672,136;20000000;106300;1,63;1;2;2530672,136
4203;2457529;2457544;111;-2;1798;1790374;147;3;2987800;96;5;128;2164;613;82751;2;2;1;9;FALSE;3;999;771564;1500000;50000;1,5;1;2;2216236
8847;2457538;2457627;103;-2;1798;2512545;385;11;1250000;96;5;128;8264;613;112803;2;2;1;9;FALSE;3;999;831094,8276;2500000;35100;1,74;1;2;418905,1724
2718;2457459;2457535;93;-2;1798;-3;156;12;2000000;96;5;279;3846;1396;190822;4;1;5;8;FALSE;3;999;1535916,851;34000000;22500;1,77;1;3;464083,149
699;2457556;2457647;111;-2;1798;-3;156;12;1500000;96;5;128;5661;1964;1215;1;1;5;8;FALSE;3;999;1155874,237;10000000;70700;1,58;1;1;344125,763
8663;2457534;2457626;0;-2;1798;3105437;385;11;1250000;96;5;75;8207;613;112803;2;2;1;9;FALSE;3;999;467139,5469;3000000;29500;1,87;1;2;782860,4531
5176;2457374;2457429;111;-2;1798;2751069;238;9;5000000;96;5;70;8498;613;202245;4;2;1;9;FALSE;3;999;1190239,781;15844300;25000;2,54;1;3;3809760,219
13132;2457473;2457481;104;-2;1798;1415743;26;10;2000000;96;5;128;1297;613;84325;2;2;1;9;FALSE;3;999;948031,25;7000000;35500;1,17;1;2;1051968,75
1556;2457460;2457544;0;-2;1798;1486949;26;10;1000000;96;5;181;1565;613;230406;4;2;1;9;FALSE;3;999;931864,8649;5500000;168000;1,54;1;1;68135,1351
13738;2457610;2457668;104;-2;1798;1332962;26;10;1700000;96;5;58;814;613;152222;3;2;1;9;FALSE;3;999;713627,9;1000000;300000;1,06;1;2;986372,1
10571;2457548;2457640;111;-2;1798;-3;156;12;900000;96;5;241;1463;1647;122900;3;1;5;8;FALSE;3;999;445198,913;4300000;21680;2,29;1;2;454801,087
5901;2457586;2457604;111;-2;1798;1873287;159;19;10000000;96;5;60;2765;613;101831;2;2;1;9;FALSE;3;999;1448783,65;17860800;50000;2,42;1;2;8551216,35
13859;2457405;2457423;111;-2;1798;2042970;385;11;500000;96;5;128;2813;613;152151;3;2;1;9;FALSE;3;999;973804,4808;6800000;41660;2,03;1;2;473804,4808
8787;2457589;2457627;103;-2;1798;2810555;238;9;1800000;96;5;102;8625;613;73814;2;2;1;9;FALSE;3;999;238342,3333;900000;21000;2,93;1;1;1561657,667
13114;2457535;2457624;0;-2;1798;1344488;385;11;2000000;96;5;70;850;613;104113;2;2;1;9;FALSE;3;999;3554942,886;30000000;1000000;3,94;1;2;1554942,886
13142;2457420;2457449;103;-2;1798;-3;156;12;600000;216;11;143;5539;811;164815;3;1;5;8;FALSE;3;999;439029,9451;3004500;40800;1,68;1;2;160970,0549
10785;2457562;2457651;111;-2;1798;1529252;159;19;405000;96;5;70;1704;613;124627;3;2;1;9;FALSE;3;999;1210242,933;5000000;65000;1,97;1;2;805242,933
7857;2457460;2457547;0;-2;1798;1482636;301;16;5000000;96;5;128;1569;613;41402;1;2;1;9;FALSE;3;999;1855409,474;7000000;135000;1,73;1;1;3144590,526
7672;2457357;2457366;93;-2;1798;-3;440;15;3000000;96;5;7;65;233;150605;3;1;5;8;FALSE;3;999;1275542,938;5000000;100000;1,29;1;2;1724457,062
10950;2457551;2457543;103;-2;1798;-3;156;12;1250000;96;5;8;73;140;185707;4;1;5;8;FALSE;3;999;834782,6087;2500000;50000;1,55;1;2;415217,3913
5655;2457390;2457404;93;-2;1798;84011;26;10;2500000;96;5;128;3804;613;193211;4;2;1;9;FALSE;3;999;1888782,895;11000000;100000;1,95;1;3;611217,105
6074;2457430;2457513;93;-2;1798;1820986;238;9;2500000;96;5;128;5498;613;100524;2;2;1;9;FALSE;3;999;2855334,073;25000000;100000;3,13;1;2;355334,073
11326;2457613;2457696;111;-2;1798;2132716;26;10;650000;96;5;128;3100;613;203200;4;2;1;9;FALSE;3;999;1228742,869;25000000;12000;1,69;1;3;578742,869
12868;2457369;2457440;111;-2;1798;2339434;26;10;500000;96;5;91;3471;613;210810;4;2;1;9;FALSE;3;999;1066010,248;3000000;100000;1,67;1;3;566010,248
6784;2457561;2457652;0;-2;1798;1191455;147;3;201800;96;5;265;534;613;174354;3;2;1;9;FALSE;3;999;990849,2615;9500000;21000;1,85;1;2;789049,2615
13278;2457636;2457685;93;-2;1798;2771094;26;10;1250000;96;5;128;4301;613;132330;3;2;1;9;FALSE;3;999;1264730,357;2500000;173455;1,29;1;2;14730,357
6585;2457657;2457737;104;-2;1798;-3;156;12;1500000;96;5;5;84;222;133056;3;1;5;8;FALSE;3;999;630952,381;3000000;55000;1,24;1;2;869047,619
2492;2457571;2457662;111;-2;1798;-3;156;12;2500000;96;5;197;1259;1668;65131;2;1;5;8;FALSE;3;999;1349631,648;2500000;100000;2,93;1;1;1150368,352
5808;2457570;2457633;103;-2;1798;-3;156;12;1000000;96;5;244;4615;346;132750;3;1;5;8;FALSE;3;999;617486,5854;1350000;100000;1,5;1;2;382513,4146
1473;2457447;2457480;93;-2;1798;1154046;159;19;13000000;96;5;241;437;613;223908;4;2;1;9;FALSE;3;999;5527200;40000000;62769;2;1;1;7472800
5765;2457408;2457436;93;-2;1798;335621;147;3;2255700;96;5;70;4849;613;125221;3;2;1;9;FALSE;3;999;1666466,386;23814624;25000;2,53;1;2;589233,614
3340;2457484;2457573;111;-2;1798;-3;156;12;2500000;96;5;93;5102;1556;195519;4;1;5;8;FALSE;3;999;2508051,923;50000000;50000;3,7;1;3;8051,923
5842;2457662;2457669;93;114302;269;2415057;58;6;1200000;96;5;242;6794;621;111604;2;2;2;4;FALSE;3;999;4464044,819;100000000;26300;1,33;1;2;3264044,819
11514;2457580;2457673;104;-2;1798;-3;156;12;1250000;96;5;8;88;171;120202;3;1;5;8;FALSE;3;999;462000;5877000;23650;1,74;1;2;788000
1693;2457610;2457702;93;-2;1798;219649;159;19;2000000;96;5;128;4426;613;81645;2;2;1;9;FALSE;3;999;1468430,949;11440017;26500;4,23;1;2;531569,051
4052;2457662;2457750;104;-2;1798;611362;26;10;250000;96;5;128;4993;613;183306;4;2;1;9;FALSE;3;999;224162,8846;1300000;10000;1,73;1;2;25837,1154
7126;2457590;2457683;104;-2;1798;-3;156;12;1000000;96;5;128;4874;1133;172037;3;1;5;8;FALSE;3;999;949982,2785;3000000;53266;1,95;1;2;50017,7215
11010;2457449;2457490;1;-2;1798;2605130;238;9;1850000;96;5;69;5625;613;233202;4;2;1;9;FALSE;3;999;1028470,333;2000000;500000;1,45;1;1;821529,667
4723;2457643;2457725;111;-2;1798;1431424;385;11;100000;96;5;60;1397;613;201938;4;2;1;9;FALSE;3;999;634615,3846;3500000;85500;1,45;1;3;534615,3846
12468;2457576;2457668;103;-2;1798;2069723;385;11;1250000;96;5;152;2920;613;93151;2;2;1;9;FALSE;3;999;347571,9512;1000000;80000;1,08;1;2;902428,0488
6597;2457576;2457636;0;-2;1798;-3;156;12;2500000;96;5;274;5721;1386;123756;3;1;5;8;FALSE;3;999;5208488,675;40000000;100000;2;1;2;2708488,675
13249;2457636;2457638;104;-2;1798;2771094;385;11;1000000;96;5;293;4183;613;84640;2;2;1;9;FALSE;3;999;854314,0611;3100000;55740;2,13;1;2;145685,9389
9887;2457354;2457386;0;-2;1798;1083542;26;10;1000000;96;5;70;319;613;85843;2;2;1;9;FALSE;3;999;556074,1842;1000000;55500;1,94;1;2;443925,8158
11803;2457312;2457342;111;-2;1798;-3;156;12;1000000;96;5;241;3121;1958;81106;2;1;5;8;FALSE;3;999;1841180,851;2500000;34400;2,7;1;2;841180,851
9911;2457523;2457607;93;-2;1798;2057672;26;10;2500000;96;5;128;2882;613;95858;2;2;1;9;FALSE;3;999;3299588,147;75000000;50000;2,33;1;2;799588,147
1347;2457558;2457628;93;-2;1798;-3;156;12;1000000;96;5;75;7802;2400;181434;4;1;5;8;FALSE;3;999;1107240,222;10000000;17500;1,85;1;2;107240,222
13055;2457326;2457407;103;-2;1798;1751760;26;10;500000;96;5;69;2085;613;132808;3;2;1;9;FALSE;3;999;434347,3846;1000000;50000;1,77;1;2;65652,6154
13490;2457650;2457744;111;-2;1798;1380366;385;11;200000;96;5;70;1066;613;185131;4;2;1;9;FALSE;3;999;189089,3556;1500000;21400;1,88;1;2;10910,6444
8290;2457404;2457478;93;-2;1798;1602647;385;11;1500000;96;5;128;1802;613;144014;3;2;1;9;FALSE;3;999;4906702,847;75000000;100000;2,91;1;2;3406702,847
10915;2457568;2457633;104;-2;1798;-3;440;15;125000;96;5;4;160;247;151001;3;1;5;8;FALSE;3;999;168090,9091;400000;50000;1,13;1;2;43090,9091
9566;2457573;2457612;111;-2;1798;1874485;385;11;1250000;96;5;128;2405;613;150544;3;2;1;9;FALSE;3;999;1214810,459;10000000;20000;2,9;1;2;35189,541
4020;2457655;2457658;103;-2;1798;2330;147;3;1000000;96;5;128;374;613;184858;4;2;1;9;FALSE;3;999;0;0;0;0;1;2;1000000
12985;2457325;2457416;0;-2;1798;-3;156;12;2500000;96;5;128;7729;1355;164815;3;1;5;8;FALSE;3;999;1594155;6711000;48000;1,62;1;2;905845
14015;2457461;2457502;0;-2;1798;-3;156;12;200000;96;5;126;1181;2001;63817;2;1;5;8;FALSE;3;999;568563,3893;2500000;50000;1,75;1;1;368563,3893
5625;2457396;2457480;103;-2;1798;-3;156;12;2000000;96;5;75;1264;1168;131150;3;1;5;8;FALSE;3;999;911327,9213;2500000;34200;1,71;1;2;1088672,079
14202;2457620;2457695;93;-2;1798;1593807;385;11;1250000;96;5;60;1876;613;141517;3;2;1;9;FALSE;3;999;820753,6559;3200000;71500;1,29;1;2;429246,3441
1842;2457568;2457602;93;-2;1798;1390312;26;10;1000000;96;5;265;1161;613;105441;2;2;1;9;FALSE;3;999;4317921,569;100000000;25000;2,57;1;2;3317921,569
1700;2457593;2457680;111;-2;1798;-3;156;12;1000000;96;5;93;3796;2067;202214;4;1;5;8;FALSE;3;999;254614,3293;2500000;19000;1,62;1;3;745385,6707
4791;2457601;2457691;104;-2;1798;2493992;26;10;50000;96;5;189;8097;613;124916;3;2;1;9;FALSE;3;999;147165,0701;1000000;15000;2,11;1;2;97165,0701
8264;2457556;2457634;111;-2;1798;2413331;26;10;2500000;96;5;128;3790;613;115515;2;2;1;9;FALSE;3;999;784863,0684;1250000;100000;1,5;1;2;1715136,932
10791;2457587;2457668;111;216408;272;2355159;58;6;348175;96;5;128;7237;612;175753;3;2;2;4;FALSE;3;999;7234872,072;25000000;1887000;2,29;1;2;6886697,072
3620;2457564;2457656;111;-2;1798;-3;156;12;1000000;96;5;8;185;20;114730;2;1;5;8;FALSE;3;999;2379787,081;40000000;51500;1,86;1;2;1379787,081
708;2457509;2457549;111;-2;1798;2121819;385;11;1000000;96;5;128;3049;613;152301;3;2;1;9;FALSE;3;999;872627,3962;2750000;162000;1,75;1;2;127372,6038
8579;2457522;2457608;111;-2;1798;-3;156;12;1000000;96;5;128;7775;1368;150340;3;1;5;8;FALSE;3;999;1818789,474;10000000;100000;1,25;1;2;818789,474
9878;2457659;2457746;2;-2;1798;-3;156;12;400000;96;5;128;4076;2397;91528;2;1;5;8;FALSE;3;999;2111071,972;20000000;123804;2,52;1;2;1711071,972
1277;2457636;2457724;111;-2;1798;-3;440;15;50000000;73;15;174;5686;2515;112005;2;1;3;8;FALSE;3;999;2530285,326;20000000;410000;3,15;1;2;47469714,67
8854;2457411;2457494;1;-2;1798;228;147;3;1600000;96;5;186;2906;613;185323;4;2;1;9;FALSE;3;999;632142,8571;2500000;50000;2,5;1;2;967857,1429
13335;2457315;2457374;103;-2;1798;-3;156;12;1900000;96;5;51;24;614;165728;3;1;5;8;FALSE;3;999;524216,0714;3000000;27100;1,74;1;2;1375783,929
10993;2457325;2457380;111;-2;1798;1163451;26;10;1250000;96;5;70;526;613;81920;2;2;1;9;FALSE;3;999;549928,8136;3260000;20000;2,73;1;2;700071,1864
4820;2457421;2457498;104;-2;1798;-3;156;12;1250000;96;5;8;133;144;182128;4;1;5;8;FALSE;3;999;514956,3333;5000000;21700;2,35;1;2;735043,6667
13242;2457503;2457590;111;-2;1798;1819593;26;10;1200000;96;5;187;2180;613;94620;2;2;1;9;FALSE;3;999;1186971,627;6162385;30400;2,51;1;2;13028,373
6125;2457475;2457529;138;-2;1798;2162048;26;10;1000000;96;5;70;7876;613;111300;2;2;1;9;FALSE;3;999;444720,7588;2565000;10000;2,13;1;2;555279,2412
11524;2457477;2457525;111;273000;1836;2652715;58;6;93000;96;5;60;6479;2659;155631;3;2;2;4;FALSE;3;999;580885,5516;20000000;21500;1,57;1;2;487885,5516
4542;2457526;2457592;103;-2;1798;1366851;26;10;1250000;96;5;265;964;613;94801;2;2;1;9;FALSE;3;999;466721,75;1750000;39000;1,16;1;2;783278,25
1986;2457390;2457460;111;-2;1798;-3;156;12;2000000;96;5;101;4864;2535;184431;4;1;5;8;FALSE;3;999;1219878,346;2500000;100000;1,83;1;2;780121,654
12957;2457451;2457510;103;-2;1798;-3;156;12;1200000;96;5;237;7833;510;145328;3;1;5;8;FALSE;3;999;374183;1250000;17425;1,17;1;2;825817
14080;2457510;2457521;93;-2;1798;185678;159;19;6000000;96;5;101;3988;613;140923;3;2;1;9;FALSE;3;999;0;0;0;0;1;2;6000000
3506;2457433;2457509;111;-2;1798;-3;156;12;1000000;96;5;223;3191;2640;162434;3;1;5;8;FALSE;3;999;190671,4915;1200000;21600;1,25;1;2;809328,5085
11604;2457650;2457740;0;-2;1798;2647208;26;10;2000000;96;5;187;4197;613;143529;3;2;1;9;FALSE;3;999;1284469,294;2300000;1100000;2,86;1;2;715530,706
5961;2457298;2457323;0;-2;1798;1389004;26;10;1500000;96;5;128;1126;613;155538;3;2;1;9;FALSE;3;999;700686,3697;5000000;46000;1,7;1;2;799313,6303
4395;2457443;2457497;111;-2;1798;1243314;26;10;2500000;96;5;86;550;613;73003;2;2;1;9;FALSE;3;999;2450906,817;13425780;100000;2,45;1;1;49093,183
4965;2457592;2457638;111;460665;258;3375676;58;6;8635000;96;5;203;6380;603;95921;2;2;2;4;FALSE;3;999;2227785,714;4700000;365600;2,44;1;2;6407214,286
5450;2457526;2457606;0;-2;1798;1369199;385;11;1250000;96;5;128;1075;613;92855;2;2;1;9;FALSE;3;999;584346,3415;2000000;50000;1,34;1;2;665653,6585
3464;2457445;2457520;93;-2;1798;1468759;385;11;1250000;96;5;128;1492;613;65128;2;2;1;9;FALSE;3;999;914155,3738;3600000;100000;1,89;1;1;335844,6262
8462;2457499;2457550;111;-2;1798;1572176;385;11;300000;96;5;256;1456;613;125831;3;2;1;9;FALSE;3;999;246257,4082;1000000;97000;1,52;1;2;53742,5918
